Date,Dernier,Ouv., Plus Haut,Plus Bas
08/03/2001,0.9324,0.9297,0.9343,0.9267
09/03/2001,0.9329,0.9325,0.9377,0.929
12/03/2001,0.9287,0.9326,0.9345,0.9258
13/03/2001,0.9147,0.9286,0.9304,0.9127
14/03/2001,0.9109,0.9155,0.9218,0.9078
15/03/2001,0.8984,0.912,0.9133,0.8953
16/03/2001,0.8976,0.8973,0.9006,0.8915
19/03/2001,0.899,0.8975,0.9021,0.8932
20/03/2001,0.9096,0.8995,0.9101,0.8987
21/03/2001,0.8962,0.9093,0.9128,0.8931
22/03/2001,0.8883,0.8961,0.8968,0.883
23/03/2001,0.89,0.8891,0.8969,0.8852
26/03/2001,0.896,0.8911,0.8977,0.8884
27/03/2001,0.8932,0.8958,0.8993,0.8898
28/03/2001,0.8858,0.8935,0.8948,0.8845
29/03/2001,0.8827,0.8859,0.8887,0.8796
30/03/2001,0.8778,0.8836,0.8879,0.8752
02/04/2001,0.8798,0.8745,0.8839,0.8744
03/04/2001,0.8981,0.8797,0.8999,0.8792
04/04/2001,0.9013,0.8976,0.9052,0.8934
05/04/2001,0.8967,0.9012,0.9094,0.8936
06/04/2001,0.9042,0.8969,0.9054,0.8924
09/04/2001,0.897,0.9028,0.9049,0.8962
10/04/2001,0.8889,0.897,0.8997,0.8869
11/04/2001,0.8883,0.8891,0.892,0.8808
12/04/2001,0.8926,0.888,0.8945,0.8835
13/04/2001,0.8882,0.8928,0.8935,0.8878
16/04/2001,0.8888,0.8887,0.8906,0.8827
17/04/2001,0.8839,0.8884,0.8912,0.8776
18/04/2001,0.8822,0.8834,0.8902,0.8696
19/04/2001,0.898,0.8838,0.899,0.8806
20/04/2001,0.9022,0.8976,0.9049,0.8947
23/04/2001,0.8964,0.9018,0.9084,0.8942
24/04/2001,0.8942,0.8963,0.9022,0.8931
25/04/2001,0.8976,0.8948,0.9004,0.8906
26/04/2001,0.9032,0.8977,0.9046,0.8947
27/04/2001,0.8922,0.9036,0.9057,0.8886
30/04/2001,0.8881,0.8916,0.8925,0.885
01/05/2001,0.893,0.889,0.8943,0.8856
02/05/2001,0.8939,0.8937,0.8954,0.8884
03/05/2001,0.8897,0.8939,0.898,0.8881
04/05/2001,0.8927,0.8896,0.901,0.8894
07/05/2001,0.8901,0.8927,0.8935,0.8896
08/05/2001,0.8853,0.8905,0.8914,0.8823
09/05/2001,0.886,0.8854,0.8864,0.881
10/05/2001,0.8815,0.8864,0.8923,0.8779
11/05/2001,0.8753,0.8816,0.8827,0.8733
14/05/2001,0.8743,0.8757,0.8761,0.8723
15/05/2001,0.8782,0.874,0.8803,0.873
16/05/2001,0.8834,0.8784,0.8869,0.8743
17/05/2001,0.8827,0.8834,0.8883,0.8792
18/05/2001,0.8814,0.8829,0.883,0.8753
21/05/2001,0.8767,0.88,0.882,0.874
22/05/2001,0.865,0.8769,0.8777,0.8627
23/05/2001,0.8565,0.8658,0.8664,0.8547
24/05/2001,0.8569,0.8557,0.8615,0.85
25/05/2001,0.8612,0.8572,0.8631,0.8538
28/05/2001,0.8602,0.8602,0.861,0.8576
29/05/2001,0.8558,0.8601,0.8615,0.8528
30/05/2001,0.8568,0.8559,0.8595,0.8535
31/05/2001,0.8459,0.8558,0.8569,0.844
01/06/2001,0.8477,0.8448,0.8502,0.843
04/06/2001,0.8465,0.8462,0.854,0.8437
05/06/2001,0.8541,0.846,0.8553,0.8419
06/06/2001,0.8478,0.8543,0.8572,0.8444
07/06/2001,0.8506,0.8468,0.8518,0.8455
08/06/2001,0.8508,0.8518,0.852,0.8457
11/06/2001,0.8432,0.8497,0.8542,0.841
12/06/2001,0.8532,0.8436,0.8541,0.8414
13/06/2001,0.8548,0.853,0.857,0.8508
14/06/2001,0.8623,0.8556,0.8637,0.8486
15/06/2001,0.8615,0.8628,0.8677,0.8601
18/06/2001,0.8608,0.8632,0.8647,0.8573
19/06/2001,0.8539,0.8608,0.861,0.8526
20/06/2001,0.8547,0.8538,0.8558,0.8494
21/06/2001,0.8543,0.8556,0.8593,0.8513
22/06/2001,0.8573,0.8542,0.8578,0.8504
25/06/2001,0.8588,0.8568,0.8628,0.8562
26/06/2001,0.8638,0.8591,0.8653,0.8584
27/06/2001,0.8592,0.864,0.8662,0.8587
28/06/2001,0.8438,0.8587,0.8615,0.843
29/06/2001,0.85,0.8441,0.8503,0.843
02/07/2001,0.8484,0.8506,0.8506,0.8436
03/07/2001,0.8486,0.8481,0.8509,0.8451
04/07/2001,0.8467,0.848,0.8504,0.8428
05/07/2001,0.838,0.8463,0.8481,0.8357
06/07/2001,0.8475,0.8371,0.8481,0.8347
09/07/2001,0.8511,0.8469,0.8527,0.8442
10/07/2001,0.8548,0.8501,0.8578,0.8484
11/07/2001,0.8598,0.8551,0.8646,0.8532
12/07/2001,0.8534,0.8587,0.8587,0.8504
13/07/2001,0.8549,0.8538,0.8563,0.8508
16/07/2001,0.853,0.8541,0.8616,0.8526
17/07/2001,0.8599,0.8527,0.861,0.8488
18/07/2001,0.8737,0.8597,0.8744,0.8565
19/07/2001,0.8711,0.8742,0.8791,0.8673
20/07/2001,0.8711,0.8719,0.8788,0.8698
23/07/2001,0.8691,0.8705,0.8722,0.8649
24/07/2001,0.8737,0.8692,0.8774,0.8681
